n_nodes,n_edges,count
3,2,74
4,3,49
2,2,30
5,5,28
4,4,26
6,6,24
5,4,20
6,7,19
3,3,19
5,3,16
5,6,14
4,5,13
7,7,13
4,2,12
6,5,11
6,8,10
7,6,9
8,10,9
7,8,7
7,9,7
8,13,7
8,11,7
3,4,7
8,9,6
6,9,6
8,8,6
7,10,5
7,11,5
8,12,5
6,4,5
4,6,4
9,15,4
9,7,4
8,14,4
9,14,4
8,5,4
11,25,3
10,16,3
5,8,3
9,16,3
9,9,3
9,10,3
8,15,3
11,13,3
8,7,3
8,6,3
7,12,3
10,19,2
9,11,2
10,13,2
6,10,2
7,5,2
7,4,2
5,7,2
7,13,2
9,18,2
7,14,2
10,20,2
5,9,1
6,11,1
5,10,1
7,17,1
7,15,1
10,10,1
10,8,1
9,12,1
9,8,1
8,17,1
8,4,1
10,18,1
10,11,1
10,17,1
10,21,1
10,28,1
10,23,1
11,11,1
11,14,1
11,18,1
10,12,1
11,21,1
11,24,1
11,27,1
11,40,1
12,15,1
12,16,1
12,18,1
12,32,1
13,19,1
13,22,1
13,26,1
13,29,1
13,31,1
14,11,1
14,24,1
15,20,1
