n_nodes,n_edges,count
3,2,7811
4,3,4274
2,2,2589
3,3,2537
5,4,2292
4,4,2255
5,5,1726
6,5,1326
6,6,1282
4,2,1134
6,7,949
5,3,940
5,6,926
7,7,737
4,5,727
7,8,699
6,4,680
7,6,648
7,9,525
6,8,515
8,8,443
8,9,412
3,4,410
8,10,388
7,5,387
5,7,383
8,7,348
8,11,341
7,10,337
6,9,286
8,6,258
8,12,252
9,10,242
9,12,234
9,11,230
7,11,226
4,6,216
9,9,212
8,13,195
9,7,184
9,8,176
6,3,175
7,4,175
9,13,166
9,14,154
7,12,147
9,15,145
5,8,145
10,12,134
8,5,132
6,10,130
10,10,129
10,11,125
8,14,123
10,13,119
10,9,115
10,14,98
10,15,89
9,16,88
8,15,82
9,6,76
11,13,74
10,16,72
9,17,70
10,18,69
6,11,67
11,12,65
10,8,64
9,18,63
7,13,62
11,15,61
11,11,59
11,14,59
10,17,58
11,17,52
11,16,52
10,20,48
10,19,46
4,7,46
8,16,44
11,10,42
7,14,40
11,9,38
8,17,38
3,5,36
5,9,36
9,19,36
12,19,33
12,12,31
9,20,31
10,7,30
12,15,29
12,18,27
11,19,27
12,13,27
12,11,27
11,20,25
11,18,24
12,14,24
10,22,23
6,12,23
9,5,23
11,21,22
12,17,22
10,21,21
7,15,20
10,23,20
12,20,20
12,16,20
5,10,18
12,10,17
12,21,16
9,22,16
12,23,16
8,19,16
11,8,16
2,1,15
8,4,15
13,18,14
6,13,14
10,24,14
13,16,14
11,22,13
9,21,13
8,18,13
12,22,12
10,6,12
13,21,11
12,25,11
11,23,11
12,24,11
13,15,11
13,19,11
11,24,10
13,14,9
13,20,9
13,17,9
7,16,9
11,25,9
14,18,9
10,26,9
3,6,8
13,22,8
14,17,8
13,11,8
7,17,7
13,26,7
4,8,7
11,28,7
12,9,6
6,14,6
9,24,6
11,27,6
11,26,6
11,7,6
10,25,6
13,13,6
12,26,5
10,27,5
10,28,5
8,21,5
8,20,5
13,27,5
13,12,5
14,16,5
13,30,5
14,14,5
14,15,5
12,8,4
10,5,4
7,18,4
9,23,4
13,32,4
9,25,4
13,24,4
14,24,4
5,11,4
14,23,3
10,29,3
14,21,3
15,18,3
14,22,3
13,29,3
9,27,3
9,28,3
14,20,3
13,28,3
14,13,3
13,31,3
13,23,3
13,25,3
8,22,3
12,32,3
8,25,3
15,17,2
14,10,2
14,11,2
11,31,2
11,29,2
13,10,2
15,16,2
13,9,2
11,33,2
15,19,2
15,20,2
15,22,2
15,23,2
15,25,2
15,28,2
15,37,2
13,35,2
14,19,2
9,26,2
12,28,2
12,29,2
7,19,2
5,12,2
11,38,1
15,29,1
10,32,1
12,27,1
15,21,1
12,30,1
10,30,1
10,31,1
15,26,1
12,31,1
15,30,1
14,39,1
15,33,1
15,35,1
15,36,1
13,8,1
16,15,1
16,19,1
16,21,1
16,27,1
17,16,1
17,20,1
17,26,1
17,28,1
15,13,1
14,32,1
11,34,1
11,30,1
11,40,1
13,34,1
11,45,1
13,36,1
13,37,1
13,39,1
13,46,1
6,17,1
14,12,1
11,32,1
6,15,1
5,13,1
14,31,1
9,32,1
9,33,1
8,26,1
10,33,1
8,24,1
8,23,1
7,20,1
14,25,1
14,27,1
14,29,1
14,30,1
18,18,1
