n_nodes,n_edges,count
3,2,100
4,3,49
3,3,29
5,4,29
2,2,26
4,4,25
6,5,21
5,6,21
5,5,20
6,6,20
5,3,16
7,6,14
8,7,14
6,7,14
7,7,13
4,5,10
7,9,9
3,4,9
6,8,8
9,12,8
8,12,7
4,2,7
8,11,6
7,12,6
7,8,6
5,7,5
8,10,5
10,13,5
8,8,5
8,9,4
9,10,4
9,9,4
11,14,4
7,5,4
7,10,4
10,10,3
6,10,3
4,6,3
9,11,3
6,4,3
9,15,3
10,9,3
10,15,2
9,8,2
10,16,2
11,11,2
9,14,2
9,13,2
9,16,2
10,12,2
8,13,2
9,7,2
8,5,2
4,7,2
6,3,2
6,9,2
7,11,2
5,8,2
8,6,2
8,17,2
12,21,1
12,15,1
11,9,1
13,11,1
11,19,1
11,17,1
11,16,1
13,14,1
11,15,1
13,18,1
11,12,1
12,14,1
10,19,1
10,23,1
10,22,1
9,6,1
10,18,1
6,13,1
7,4,1
10,11,1
7,14,1
10,7,1
9,17,1
8,16,1
8,19,1
9,5,1
14,24,1
