check,value,status,note
match_count == 5,5,PASS,
"unique_teams in [18, 24]",8,WARNING,"Số đội = 8, ngoài khoảng [18, 24]"
"median_events_per_match in [1000, 4500]",3683.0,PASS,"min=3478, max=3939"
"median_possessions_per_match in [90, 130]",122.0,PASS,"min=112, max=137"
"median_successful_passes_per_match in [500, 1200]",767.0,PASS,"min=693, max=853"
missing_coordinate_rate < 0.05,0.0054,PASS,99/18431 events thiếu tọa độ
successful_pass_coordinate_missingness < 0.01,0.0,PASS,"start_missing=0, end_missing=0 / 3833 passes"
missing_recipient_rate < 0.15,0.0511,PASS,258/5053 passes thiếu recipient
no_duplicate_possession_keys,0,PASS,
no_duplicate_event_ids,0,PASS,
"positive_shot_rate in [0.1, 0.25]",0.161,PASS,99/615 possessions dẫn đến sút
"actual_shots_per_match in [15.0, 35.0]",29.4,PASS,147 actual Shot events / 5 matches
attack_direction_gap > 0,18.55,PASS,
possession_team_consistency,0,PASS,
graph_size_proxy,"median_players=5, median_passes=5",PASS,"players: [2, 14], passes: [2, 31]"
